252.580, 130.069, 8.337, 12.193 False
252.304, 130.040, 8.337, 12.226 False
252.027, 130.011, 8.337, 12.259 False
251.751, 129.983, 8.337, 12.292 False
251.474, 129.954, 8.337, 12.325 False
251.198, 129.926, 8.337, 12.358 False
250.921, 129.899, 8.336, 12.391 False
250.645, 129.872, 8.336, 12.424 False
250.368, 129.844, 8.336, 12.457 False
250.092, 129.817, 8.336, 12.490 False
249.815, 129.790, 8.336, 12.523 False
249.539, 129.764, 8.336, 12.556 False
249.262, 129.737, 8.336, 12.589 False
248.985, 129.711, 8.336, 12.622 False
248.709, 129.685, 8.336, 12.655 False
248.432, 129.659, 8.336, 12.688 False
248.155, 129.633, 8.336, 12.721 False
247.879, 129.608, 8.336, 12.754 False
247.602, 129.583, 8.335, 12.787 False
247.325, 129.558, 8.335, 12.820 False
247.048, 129.534, 8.335, 12.853 False
246.772, 129.510, 8.335, 12.886 False
246.495, 129.486, 8.335, 12.919 False
246.218, 129.462, 8.335, 12.952 False
245.941, 129.439, 8.335, 12.985 False
245.664, 129.416, 8.335, 13.018 False
245.387, 129.394, 8.335, 13.051 False
245.110, 129.371, 8.335, 13.084 False
244.833, 129.349, 8.335, 13.117 False
244.557, 129.327, 8.335, 13.150 False
244.279, 129.305, 8.335, 13.183 False
244.002, 129.285, 8.334, 13.216 False
243.725, 129.264, 8.335, 13.249 False
243.448, 129.244, 8.335, 13.282 False
243.171, 129.224, 8.335, 13.315 False
242.894, 129.204, 8.335, 13.348 False
242.617, 129.185, 8.335, 13.381 False
242.340, 129.165, 8.335, 13.414 False
242.063, 129.146, 8.334, 13.447 False
241.785, 129.129, 8.334, 13.480 False
241.508, 129.110, 8.334, 13.513 False
241.231, 129.093, 8.334, 13.546 False
240.954, 129.076, 8.334, 13.579 False
240.676, 129.058, 8.334, 13.612 False
240.399, 129.041, 8.334, 13.645 False
240.122, 129.024, 8.334, 13.678 False
239.844, 129.008, 8.334, 13.711 False
239.567, 128.992, 8.334, 13.744 False
239.290, 128.976, 8.334, 13.777 False
239.012, 128.960, 8.334, 13.810 False
238.735, 128.945, 8.334, 13.843 False
238.458, 128.931, 8.334, 13.876 False
238.180, 128.916, 8.334, 13.909 False
237.903, 128.902, 8.334, 13.942 False
237.625, 128.888, 8.334, 13.975 False
237.348, 128.875, 8.334, 14.008 False
237.070, 128.862, 8.334, 14.041 False
236.793, 128.849, 8.334, 14.074 False
236.515, 128.836, 8.334, 14.107 False
236.238, 128.823, 8.334, 14.140 False
235.960, 128.811, 8.334, 14.173 False
235.683, 128.799, 8.334, 14.206 False
235.405, 128.788, 8.334, 14.239 False
235.127, 128.777, 8.334, 14.272 False
234.850, 128.766, 8.334, 14.305 False
234.572, 128.755, 8.334, 14.338 False
234.295, 128.744, 8.334, 14.371 False
234.017, 128.734, 8.334, 14.404 False
233.739, 128.724, 8.334, 14.437 False
233.462, 128.714, 8.334, 14.470 False
233.184, 128.705, 8.334, 14.503 False
232.907, 128.695, 8.334, 14.536 False
232.629, 128.686, 8.334, 14.569 False
232.351, 128.677, 8.334, 14.602 False
232.074, 128.668, 8.334, 14.635 False
231.796, 128.660, 8.334, 14.668 False
231.518, 128.652, 8.334, 14.701 False
231.241, 128.644, 8.334, 14.734 False
230.963, 128.637, 8.334, 14.767 False
230.685, 128.629, 8.334, 14.800 False
230.408, 128.622, 8.334, 14.833 False
230.130, 128.615, 8.334, 14.866 False
229.852, 128.608, 8.334, 14.899 False
229.574, 128.601, 8.334, 14.932 False
229.297, 128.595, 8.334, 14.965 False
229.019, 128.589, 8.334, 14.998 False
228.741, 128.583, 8.334, 15.031 False
228.464, 128.577, 8.333, 15.064 False
228.186, 128.571, 8.333, 15.097 False
227.908, 128.566, 8.334, 15.130 False
227.630, 128.561, 8.333, 15.163 False
227.353, 128.556, 8.333, 15.196 False
227.075, 128.552, 8.333, 15.229 False
226.797, 128.547, 8.333, 15.262 False
226.519, 128.543, 8.333, 15.295 False
226.242, 128.539, 8.333, 15.328 False
